# Heuristic Weights (emptyTiles, monotonicity, smoothness, cornerPlacement)
# Format: emptyTiles,monotonicity,smoothness,cornerPlacement,avgScore,maxScore,gamesPlayed
0.1466,0.1309,0.3582,0.3643,8862.0000,31472,50
0.1170,0.2443,0.2783,0.3604,15145.2000,23488,10
0.2500,0.2067,0.3467,0.1966,13775.2000,32476,10
0.1074,0.2927,0.4214,0.1785,13367.2000,28172,10
0.1609,0.2082,0.5844,0.0464,11030.8000,16376,10
0.0524,0.1668,0.6327,0.1482,10714.4000,26452,10
0.0029,0.2128,0.5473,0.2370,10246.4000,16172,10
0.2046,0.1866,0.4529,0.1559,9714.4000,26744,10
0.2884,0.3198,0.1889,0.2029,9606.4000,30788,10
0.3582,0.1004,0.3871,0.1543,8986.0000,12984,10
0.0701,0.2511,0.2504,0.4283,8464.4000,16680,10
0.2244,0.3835,0.1672,0.2250,8325.6000,16152,10
0.0706,0.3056,0.1855,0.4382,8168.4000,14248,10
0.0833,0.1126,0.5027,0.3015,8150.4000,12860,10
0.2882,0.2185,0.3825,0.1108,8070.8000,15464,10
0.0369,0.0557,0.4251,0.4824,7090.4000,15904,10
0.0000,0.1889,0.4477,0.3634,6914.4000,12512,10
0.0045,0.4748,0.2307,0.2899,6578.0000,13752,10
0.0675,0.4324,0.4841,0.0160,6159.6000,16872,10
0.0000,0.5078,0.3839,0.1083,6009.2000,9960,10
